UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22155960     PULS   1831 
     22155962     PULS   1832 
     22155964     PULS   1834 
     22155966     PULS   1834 
     22155968     PULS   1838 
     22155970     PULS   1841 
     22155972     PULS   1843 
     22155974     PULS   1846 
     22155976     PULS   1848 
     22155978     PULS   1852 
     22155980     PULS   1853 
     22155982     PULS   1855 
     22155984     PULS   1855 
     22155986     PULS   1855 
     22155988     PULS   1855 
     22155990     PULS   1853 
     22155992     PULS   1855 
     22155994     PULS   1853 
     22155996     PULS   1853 
     22155998     PULS   1853 
     22156000     PULS   1855 
     22156002     PULS   1855 
     22156004     PULS   1855 
     22156006     PULS   1855 
     22156008     PULS   1859 
     22156010     PULS   1864 
     22156012     PULS   1871 
     22156014     PULS   1881 
     22156016     PULS   1895 
     22156018     PULS   1915 
     22156020     PULS   1937 
     22156022     PULS   1969 
     22156024     PULS   2007 
     22156026     PULS   2049 
     22156028     PULS   2098 
     22156030     PULS   2154 
     22156032     PULS   2214 
     22156034     PULS   2277 
     22156036     PULS   2343 
     22156038     PULS   2410 
     22156040     PULS   2480 
     22156042     PULS   2548 
     22156044     PULS   2615 
     22156046     PULS   2678 
     22156048     PULS   2739 
     22156050     PULS   2797 
     22156052     PULS   2849 
     22156054     PULS   2898 
     22156056     PULS   2945 
     22156058     PULS   2984 
     22156060     PULS   3021 
     22156062     PULS   3050 
     22156064     PULS   3073 
     22156066     PULS   3091 
     22156068     PULS   3103 
     22156070     PULS   3108 
     22156072     PULS   3110 
     22156074     PULS   3106 
     22156076     PULS   3096 
     22156078     PULS   3084 
     22156080     PULS   3068 
     22156082     PULS   3050 
     22156084     PULS   3029 
     22156086     PULS   3005 
     22156088     PULS   2980 
     22156090     PULS   2952 
     22156092     PULS   2923  PULS_TRIGGER
     22156094     PULS   2893 
     22156096     PULS   2861 
     22156098     PULS   2830 
     22156100     PULS   2800 
     22156102     PULS   2769 
     22156104     PULS   2735 
     22156106     PULS   2704 
     22156108     PULS   2672 
     22156110     PULS   2639 
     22156112     PULS   2606 
     22156114     PULS   2574 
     22156116     PULS   2541 
     22156118     PULS   2508 
     22156120     PULS   2473 
     22156122     PULS   2441 
     22156124     PULS   2408 
     22156126     PULS   2377 
     22156128     PULS   2345 
     22156130     PULS   2314 
     22156132     PULS   2284 
     22156134     PULS   2258 
     22156136     PULS   2233 
     22156138     PULS   2210 
     22156140     PULS   2193 
     22156142     PULS   2179 
     22156144     PULS   2167 
     22156146     PULS   2154 
     22156148     PULS   2144 
     22156150     PULS   2135 
     22156152     PULS   2128 
     22156154     PULS   2121 
     22156156     PULS   2118 
     22156158     PULS   2114 
     22156160     PULS   2111 
     22156162     PULS   2107 
     22156164     PULS   2105 
     22156166     PULS   2107 
     22156168     PULS   2105 
     22156170     PULS   2105 
     22156172     PULS   2105 
     22156174     PULS   2107 
     22156176     PULS   2107 
     22156178     PULS   2107 
     22156180     PULS   2109 
     22156182     PULS   2111 
     22156184     PULS   2112 
     22156186     PULS   2118 
     22156188     PULS   2119 
     22156190     PULS   2123 
     22156192     PULS   2126 
     22156194     PULS   2128 
     22156196     PULS   2128 
     22156198     PULS   2128 
     22156200     PULS   2126 
     22156202     PULS   2121 
     22156204     PULS   2118 
     22156206     PULS   2112 
     22156208     PULS   2105 
     22156210     PULS   2098 
     22156212     PULS   2091 
     22156214     PULS   2084 
     22156216     PULS   2077 
     22156218     PULS   2072 
     22156220     PULS   2065 
     22156222     PULS   2060 
     22156224     PULS   2055 
     22156226     PULS   2049 
     22156228     PULS   2042 
     22156230     PULS   2035 
     22156232     PULS   2028 
     22156234     PULS   2023 
     22156236     PULS   2014 
     22156238     PULS   2006 
     22156240     PULS   1995 
     22156242     PULS   1985 
     22156244     PULS   1972 
     22156246     PULS   1962 
     22156248     PULS   1951 
     22156250     PULS   1944 
     22156252     PULS   1934 
     22156254     PULS   1927 
     22156256     PULS   1922 
     22156258     PULS   1916 
     22156260     PULS   1911 
     22156262     PULS   1908 
     22156264     PULS   1901 
     22156266     PULS   1897 
     22156268     PULS   1890 
     22156270     PULS   1883 
     22156272     PULS   1876 
     22156274     PULS   1869 
     22156276     PULS   1860 
     22156278     PULS   1853 
     22156280     PULS   1846 
     22156282     PULS   1841 
     22156284     PULS   1836 
     22156286     PULS   1831 
     22156288     PULS   1825 
     22156290     PULS   1820 
     22156292     PULS   1818 
