UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22159522     RESP   1481 
     22159530     RESP   1459 
     22159538     RESP   1406 
     22159546     RESP   1361 
     22159554     RESP   1305 
     22159562     RESP   1230 
     22159570     RESP   1196 
     22159578     RESP   1170 
     22159586     RESP   1163 
     22159594     RESP   1144 
     22159602     RESP   1110 
     22159610     RESP   1065 
     22159618     RESP   1039 
     22159626     RESP   1020 
     22159634     RESP   1013 
     22159642     RESP   1009 
     22159650     RESP    990 
     22159658     RESP   1009 
     22159666     RESP   1005 
     22159674     RESP    990 
     22159682     RESP    971 
     22159690     RESP    938 
     22159698     RESP    926 
     22159706     RESP    904 
     22159714     RESP    885 
     22159722     RESP    859 
     22159730     RESP    844 
     22159738     RESP    840 
     22159746     RESP    821 
     22159754     RESP    806 
     22159762     RESP    788 
     22159770     RESP    754 
     22159778     RESP    746 
     22159786     RESP    724 
     22159794     RESP    739 
     22159802     RESP    769 
     22159810     RESP    769 
     22159818     RESP    780 
     22159826     RESP    791 
     22159834     RESP    806 
     22159842     RESP    825 
     22159850     RESP    788 
     22159858     RESP    761 
     22159866     RESP    728 
     22159874     RESP    739 
     22159882     RESP    788 
     22159890     RESP    851 
     22159898     RESP    911 
     22159906     RESP    986 
     22159914     RESP   1076 
     22159922     RESP   1151 
     22159930     RESP   1223 
     22159938     RESP   1286 
     22159946     RESP   1361 
     22159954     RESP   1463 
     22159962     RESP   1590 
     22159970     RESP   1699 
     22159978     RESP   1793 
     22159986     RESP   1883 
     22159994     RESP   1991 
     22160002     RESP   2111 
     22160010     RESP   2246 
     22160018     RESP   2359 
     22160026     RESP   2479 
     22160034     RESP   2584 
     22160042     RESP   2670 
     22160050     RESP   2786 
     22160058     RESP   2891 
     22160066     RESP   2966 
     22160074     RESP   3053 
     22160082     RESP   3146 
     22160090     RESP   3218 
     22160098     RESP   3304 
     22160106     RESP   3401 
     22160114     RESP   3469 
     22160122     RESP   3529 
     22160130     RESP   3626 
     22160138     RESP   3690 
     22160146     RESP   3769 
     22160154     RESP   3844 
     22160162     RESP   3915 
     22160170     RESP   4039 
     22160178     RESP   4095 
     22160186     RESP   4095 
     22160194     RESP   4095 
     22160202     RESP   4095 
     22160210     RESP   4095 
     22160218     RESP   4095 
     22160226     RESP   4095 
     22160234     RESP   4095 
     22160242     RESP   4095 
     22160250     RESP   4095 
     22160258     RESP   4095 
     22160266     RESP   4095 
     22160274     RESP   4095 
     22160282     RESP   4095 
     22160290     RESP   4095 
     22160298     RESP   4095 
     22160306     RESP   4043 
     22160314     RESP   3956 
     22160322     RESP   3870 
     22160330     RESP   3788 
     22160338     RESP   3698 
     22160346     RESP   3596 
     22160354     RESP   3510 
     22160362     RESP   3413 
     22160370     RESP   3326 
     22160378     RESP   3255 
     22160386     RESP   3176 
     22160394     RESP   3116 
     22160402     RESP   3071 
     22160410     RESP   2978 
     22160418     RESP   2895 
     22160426     RESP   2805 
     22160434     RESP   2723 
     22160442     RESP   2648 
     22160450     RESP   2554 
     22160458     RESP   2479 
     22160466     RESP   2385 
     22160474     RESP   2314 
     22160482     RESP   2246 
     22160490     RESP   2168 
     22160498     RESP   2070 
     22160506     RESP   1984 
     22160514     RESP   1924 
     22160522     RESP   1886 
     22160530     RESP   1856 
     22160538     RESP   1823 
     22160546     RESP   1763 
     22160554     RESP   1691 
     22160562     RESP   1654 
     22160570     RESP   1594 
     22160578     RESP   1511 
     22160586     RESP   1410 
     22160594     RESP   1324 
     22160602     RESP   1271 
     22160610     RESP   1249 
     22160618     RESP   1219 
     22160626     RESP   1193 
     22160634     RESP   1166 
     22160642     RESP   1121 
     22160650     RESP   1103 
     22160658     RESP   1069 
     22160666     RESP   1013 
     22160674     RESP    990 
     22160682     RESP    986 
     22160690     RESP    971 
     22160698     RESP    960 
     22160706     RESP    941 
     22160714     RESP    896 
     22160722     RESP    859 
     22160730     RESP    874 
     22160738     RESP    885 
     22160746     RESP    904 
     22160754     RESP    911 
     22160762     RESP    893 
     22160770     RESP    915 
     22160778     RESP    915 
     22160786     RESP    923 
     22160794     RESP    930 
     22160802     RESP    941 
     22160810     RESP    983 
     22160818     RESP   1035 
     22160826     RESP   1091 
     22160834     RESP   1163 
     22160842     RESP   1245 
     22160850     RESP   1316 
